ensembl_gene_id	gene_symbol	mapping_source	mapping_note
ENSG00000050030	NEXMIF	publication_and_browser_description	neurite extension and migration factor
ENSG00000144285	SCN1A	publication_and_browser_description	sodium voltage-gated channel alpha subunit 1
ENSG00000197283	SYNGAP1	publication_and_browser_description	synaptic Ras GTPase activating protein 1
ENSG00000099365	STX1B	publication_and_browser_description	syntaxin 1B
ENSG00000196998	WDR45	publication_and_browser_description	WD repeat domain 45
ENSG00000100150	DEPDC5	publication_and_browser_description	DEP domain containing 5, GATOR1 subcomplex subunit
ENSG00000103148	NPRL3	publication_and_browser_description	NPR3 like, GATOR1 complex subunit
