phenotype	gene_id	gene_namespace	gene_symbol	source_count	weighted_source_sum	source_list	weight_tier_summary	evidence_semantics_summary	evidence_tier_summary	semantic_channel_summary	mapping_status_summary	targeted_gene_count	small_panel_count	medium_panel_count	large_panel_count	panel_unsized_count	exome_or_genome_count	unknown_scope_count
mitochondrial_disease	ENSG00000117054	ensembl_gene	ACADM	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000122971	ensembl_gene	ACADS	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000196177	ensembl_gene	ACADSB	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000072778	ensembl_gene	ACADVL	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000075239	ensembl_gene	ACAT1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000110455	ensembl_gene	ACCS	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000131473	ensembl_gene	ACLY	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000100412	ensembl_gene	ACO2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000102794	ensembl_gene	ACOD1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000162390	ensembl_gene	ACOT11	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000112304	ensembl_gene	ACOT13	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000119673	ensembl_gene	ACOT2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000097021	ensembl_gene	ACOT7	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000123130	ensembl_gene	ACOT9	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000162836	ensembl_gene	ACP6	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000167107	ensembl_gene	ACSF2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000176715	ensembl_gene	ACSF3	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000151726	ensembl_gene	ACSL1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000164398	ensembl_gene	ACSL6	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000166743	ensembl_gene	ACSM1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000183747	ensembl_gene	ACSM2A	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000066813	ensembl_gene	ACSM2B	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000005187	ensembl_gene	ACSM3	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000215009	ensembl_gene	ACSM4	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000183549	ensembl_gene	ACSM5	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000154930	ensembl_gene	ACSS1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000111058	ensembl_gene	ACSS3	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000063761	ensembl_gene	ADCK1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000133597	ensembl_gene	ADCK2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000173137|ENSG00000285451	ensembl_gene	ADCK5	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000143199	ensembl_gene	ADCY10	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000147576	ensembl_gene	ADHFE1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000135537	ensembl_gene	AFG1L	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000141385	ensembl_gene	AFG3L2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000006530|ENSG00000262327	ensembl_gene	AGK	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000116771	ensembl_gene	AGMAT	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000026652	ensembl_gene	AGPAT4	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000155189|ENSG00000284980	ensembl_gene	AGPAT5	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000172482	ensembl_gene	AGXT	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000113492	ensembl_gene	AGXT2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000168710	ensembl_gene	AHCYL1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000156709	ensembl_gene	AIFM1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000042286	ensembl_gene	AIFM2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000183773	ensembl_gene	AIFM3	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000004455	ensembl_gene	AK2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000147853	ensembl_gene	AK3	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000162433	ensembl_gene	AK4	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000121057	ensembl_gene	AKAP1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000108599	ensembl_gene	AKAP10	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000198074	ensembl_gene	AKR1B10	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000053371	ensembl_gene	AKR7A2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000023330	ensembl_gene	ALAS1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000158578	ensembl_gene	ALAS2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000059573	ensembl_gene	ALDH18A1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000137124	ensembl_gene	ALDH1B1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000144908	ensembl_gene	ALDH1L1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000136010	ensembl_gene	ALDH1L2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000111275	ensembl_gene	ALDH2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000072210	ensembl_gene	ALDH3A2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000159423	ensembl_gene	ALDH4A1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000112294	ensembl_gene	ALDH5A1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000119711	ensembl_gene	ALDH6A1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000164904	ensembl_gene	ALDH7A1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000143149	ensembl_gene	ALDH9A1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000100601	ensembl_gene	ALKBH1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000125652	ensembl_gene	ALKBH7	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000242110	ensembl_gene	AMACR	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
