gene_symbol	source_count	weighted_source_sum	semantic_consensus_score	source_list	evidence_semantics_summary	semantic_channel_summary	contextual_biology_score	utilization_score	score_explanation
POLG	2	5.0	3.0	gtr_mitochondrial_gene_summary|mitocarta_human	clinical_utilization|functional_localization	clinical_utilization|contextual_biology	2.0	1.0	contextual_biology_score=2;utilization_score=1
TWNK	2	5.0	3.0	gtr_mitochondrial_gene_summary|mitocarta_human	clinical_utilization|functional_localization	clinical_utilization|contextual_biology	2.0	1.0	contextual_biology_score=2;utilization_score=1
CYC1	1	3.0	2.0	mitocarta_human	functional_localization	contextual_biology	2.0	0.0	contextual_biology_score=2
SURF1	1	3.0	2.0	mitocarta_human	functional_localization	contextual_biology	2.0	0.0	contextual_biology_score=2
TFAM	1	3.0	2.0	mitocarta_human	functional_localization	contextual_biology	2.0	0.0	contextual_biology_score=2
CYC1	1	2.0	1.0	gtr_mitochondrial_gene_summary	clinical_utilization	clinical_utilization	0.0	1.0	utilization_score=1
SURF1	1	2.0	1.0	gtr_mitochondrial_gene_summary	clinical_utilization	clinical_utilization	0.0	1.0	utilization_score=1
TFAM	1	2.0	1.0	gtr_mitochondrial_gene_summary	clinical_utilization	clinical_utilization	0.0	1.0	utilization_score=1
