gene_symbol	source_count	weighted_source_sum	semantic_consensus_score	source_list	evidence_semantics_summary	semantic_channel_summary	direct_disease_score	utilization_score	exploratory_score	score_explanation
DEPDC5	3	6.0	5.75	epi25_2024_epi_high_confidence|genes4epilepsy|gtr_epilepsy_gene_summary	clinical_utilization|exploratory_literature|statistical_association	clinical_utilization|direct_disease|exploratory_literature	4.0	1.0	0.75	direct_disease_score=4;utilization_score=1;exploratory_score=0.75
NPRL3	3	6.0	5.75	epi25_2024_epi_high_confidence|genes4epilepsy|gtr_epilepsy_gene_summary	clinical_utilization|exploratory_literature|statistical_association	clinical_utilization|direct_disease|exploratory_literature	4.0	1.0	0.75	direct_disease_score=4;utilization_score=1;exploratory_score=0.75
SCN1A	3	6.0	5.75	epi25_2024_epi_high_confidence|genes4epilepsy|gtr_epilepsy_gene_summary	clinical_utilization|exploratory_literature|statistical_association	clinical_utilization|direct_disease|exploratory_literature	4.0	1.0	0.75	direct_disease_score=4;utilization_score=1;exploratory_score=0.75
SYNGAP1	3	6.0	5.75	epi25_2024_epi_high_confidence|genes4epilepsy|gtr_epilepsy_gene_summary	clinical_utilization|exploratory_literature|statistical_association	clinical_utilization|direct_disease|exploratory_literature	4.0	1.0	0.75	direct_disease_score=4;utilization_score=1;exploratory_score=0.75
POLG	2	3.0	1.75	genes4epilepsy|gtr_epilepsy_gene_summary	clinical_utilization|exploratory_literature	clinical_utilization|exploratory_literature	0.0	1.0	0.75	utilization_score=1;exploratory_score=0.75
